semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_fr;Definition;resourceSubTypeCode;Domain;ExternalLink;changeLog;Status;Version
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EARTHKOSHER_KOSHER;PackagingMarkedLabelAccreditationCode;EARTHKOSHER_KOSHER;EarthKosher Kosher Certification ;Certification casher EarthKosher;EarthKosher Kosher Certification ;CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EARTHSURE;PackagingMarkedLabelAccreditationCode;EARTHSURE;Earthsure;Terre sûre;"Earthsure is the Ecolabel program of IERE. It provides environmental product declarations, or Environmental Product Declarations.  Much like a nutrition label the EPD shows some or all of the following impacts:
climate change, depletion of the stratospheric ozone layer, acidification of land and water sources & other impacts. ";CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECARF_SEAL;PackagingMarkedLabelAccreditationCode;ECARF_SEAL;ECARF Seal;Sceau ECARF;The products and services we certify have been fully adapted to the needs of allergy sufferers. An independent advisory panel of 15 leading international scientists and technicians has developed the criteria we use to evaluate different product groups, such as creams, vacuum cleaners and hotels. They include threshold values and exclusion criteria that make an allergic reaction very unlikely. The criteria are regularly updated to reflect the latest scientific findings. A product receives the Seal when it can be proved through audits or studies that the criteria have been fulfilled.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECO_KREIS;PackagingMarkedLabelAccreditationCode;ECO_KREIS;Eco Kreis;Eco Kreis;Corresponds to  printers and fax machines, for the health and environmental criteria audited by TÜV Rheinland: www.tuv.com.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECO_LABEL_CZECH;PackagingMarkedLabelAccreditationCode;ECO_LABEL_CZECH;Eco Label Czech;Eco Label Tchèque;Mark accredited to products with low impact on environment. It is accredited by CENIA - Czech Environmental Information Agency of the Ministry of Environment of the Czech Republic.;CODEVALUE;GDSN;;NEW;CURRENT;3
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECO_LABEL_LADYBUG;PackagingMarkedLabelAccreditationCode;ECO_LABEL_LADYBUG;Eco Label Ladybug;Coccinelle Eco Label;This is a Finnish label used by the Organic union, which represents the entire Finnish organic industry, consumers and producers in a common interest group. They work as a neutral voice in various working groups and consultations, and prepare position papers and presentations. The Federation also organizes training events and professional seminars. The Organic Federation also publishes the magazine Organic.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECO_LOGO;PackagingMarkedLabelAccreditationCode;ECO_LOGO;Eco Label;Ecolabel;Formerly known as Environmental Choice. North America's leading benchmark of environmentally responsible products and services.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_CERTIFICATE;PackagingMarkedLabelAccreditationCode;ECOCERT_CERTIFICATE;Ecocert Certificate;Certificat Ecocert;ECOCERT is a certification body for sustainable development. Www.ecocert.com;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_COSMOS_NATURAL;PackagingMarkedLabelAccreditationCode;ECOCERT_COSMOS_NATURAL;Ecocert Cosmos Natural;Ecocert Cosmos Naturel;The COSMOS-standard certification was officially launched at the Biofach in February. The COSMOS-standard is a new cosmetic certification developed to harmonize various certifications and labels in order to create one standard that is internationally recognized for natural and organic cosmetics. The new certification is a result of Europe’s leading natural cosmetic certifiers coming together and forming a non-profit association, COSMOS-standard AISBL.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_COSMOS_ORGANIC;PackagingMarkedLabelAccreditationCode;ECOCERT_COSMOS_ORGANIC;Ecocert Cosmos Organic;Ecocert Cosmos Bio;The COSMOS-standard certification was officially launched at the Biofach in February. The COSMOS-standard is a new cosmetic certification developed to harmonize various certifications and labels in order to create one standard that is internationally recognized for natural and organic cosmetics. The new certification is a result of Europe’s leading natural cosmetic certifiers coming together and forming a non-profit association, COSMOS-standard AISBL.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_NATURAL_DETERGENT;PackagingMarkedLabelAccreditationCode;ECOCERT_NATURAL_DETERGENT;ECOCERT natural detergent;Détergent naturel ECOCERT;"The ECOCERT logo with signature “NATURAL DETERGENT” is used to certify detergents which comply with the ECOCERT Standard.
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_NATURAL_DETERGENT_MADE_WITH_ORGANIC;PackagingMarkedLabelAccreditationCode;ECOCERT_NATURAL_DETERGENT_MADE_WITH_ORGANIC;ECOCERT natural detergent made with organic;Lessive naturelle ECOCERT à base de produits biologiques;"The ECOCERT logo with signature “NATURAL DETERGENT made with ORGANIC” is used to certify detergents which comply with the ECOCERT Standard made from at least 10% organic raw materials.
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOCERT_ORGANIC;PackagingMarkedLabelAccreditationCode;ECOCERT_ORGANIC;Organic Certifying Body – EcoCert, Quebec, Canada;Organisme certificateur biologique – EcoCert, Québec, Canada;Ecocert (Canada) is a control and certification organization that certifies organic products in Canada with its Ecocert label. It is managed by a private corporation based in Quebec, but that operates Canada-wide and is independent from all commercial entities;CODEVALUE;GDSN;;NEW;CURRENT;4
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOGARANTIE;PackagingMarkedLabelAccreditationCode;ECOGARANTIE;Ecogarantie;Écogarantie;Ecogarantie is an international mark for ecological products. Ecogarantie has developed standards for cosmetics, personal care, washing- and cleaning products and salt. Consumers can rely on the fact that products with the Ecogarantie label, meet strict requirements whose goal it is to guarantee quality, safety and durability for generations to come. http://www.ecogarantie.com/en .;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOLAND;PackagingMarkedLabelAccreditationCode;ECOLAND;ECOLAND;ÉCOLANDE;"The Ecoland label stands for regional production, sustainable agriculture and social commitment. Products with this label have not been treated with chemical pesticides or synthetic fertilizers. Producers commits itself to promote the biodiversity of their area, to preserve soil fertility and to use water-efficient irrigation systems. All organic farmers are controlled in accordance with the strict requirements of the EU Organic Regulation and the guidelines of the Ecoland-Verband. This is done by state-approved inspection bodies, which are supervised by the state control authorities
";CODEVALUE;GDSN;;NEW;CURRENT;9
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOLOGO_CERTIFIED;PackagingMarkedLabelAccreditationCode;ECOLOGO_CERTIFIED;The EcoLogo Certification;La certification ÉcoLogo;The EcoLogo certification attribute includes all products that have published the EcoLogo Certified seal on their packaging. ;CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECOVIN;PackagingMarkedLabelAccreditationCode;ECOVIN;Ecovin;Écovin;The ecovin label certifies wines produced with ecological production methods based on the EU eco regulation.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ECZEMA_SOCIETY_OF_CANADA;PackagingMarkedLabelAccreditationCode;ECZEMA_SOCIETY_OF_CANADA;Eczema Society of Canada- Accepted;Société canadienne de l'eczéma - Accepté;Products that are identified as ‘accepted’ by the Eczema Society are free of ingredients know to be irritating for sensitive skin, have undergone dermatologist formulation review, and have earned our Seal of Acceptance.;CODEVALUE;GDSN;;NEW;CURRENT;8
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EESTI_OKOMARK;PackagingMarkedLabelAccreditationCode;EESTI_OKOMARK;Estonian Eco Label;Label écologique estonien;Estonian Eco Label: Ministry of Agriculture Ökomärk (Label of Organic Food). www.agri.ee;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EESTI_PARIM_TOIDUAINE;PackagingMarkedLabelAccreditationCode;EESTI_PARIM_TOIDUAINE;Eesti Parim Toiduaine;Eesti Parim Toiduaine;Best Food  - Association of Estonia Food Industry http://www.toiduliit.ee/ Our mission is to support and promote Estonian food industry and economy, and contribute to a balanced and appropriate ethics to members of a favorable business environment for development.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EKO;PackagingMarkedLabelAccreditationCode;EKO;EKO;EKO;This symbol stands for organic production certified by Skal that meets the requirements of the EU-regulation for organic production. Skal is the inspection body for the organic production in the Netherlands.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENEC;PackagingMarkedLabelAccreditationCode;ENEC;ENEC;ENEC;ENEC is a European high quality mark for lighting equipment and related products and stands for European Norms Electrical Certification. ENEC is an alternative to the national marks within the entire European Union. This mark eliminates a producer the need for a separate label in each individual country. Each European country there are 1 or more independent testing bodies that are appointed to issue the ENEC certification mark to a product.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_A;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_A;Energy label A;Classe énergétique A;Energy label A The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_A+;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_A+;Energy label A+;Classe énergétique A+;Energy label A+ The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_A++;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_A++;Energy label A++;Classe énergétique A++;Energy label A++ The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_A+++;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_A+++;Energy label A+++;Classe énergétique A+++;Energy label A+++ The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_B;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_B;Energy label B;Classe énergétique B;Energy label B The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_C;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_C;Energy label C;Classe énergétique C;Energy label C The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_D;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_D;Energy label D;Classe énergétique D;Energy label D The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_E;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_E;Energy label E;Classe énergétique E;Energy label E The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_F;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_F;Energy label F;Étiquette énergétique F;Energy label F The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_LABEL_G;PackagingMarkedLabelAccreditationCode;ENERGY_LABEL_G;Energy label G;Étiquette énergétique G;Energy label G The EU energy label gives information about the energy efficiency of a product. The label rates products from dark green (most efficient) to red (least efficient). The label also shows total energy consumption and provides other information relevant to that product. Examples of products are lamps (light bulbs) and electric household appliances.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENERGY_STAR;PackagingMarkedLabelAccreditationCode;ENERGY_STAR;Energy Star;Étoile énergétique;ENERGY STAR is a voluntary government-backed program dedicated to helping individuals protect the environment through energy efficiency. The ENERGY STAR mark is the national symbol for energy efficiency, making it easy for consumers and businesses to identify high-quality, energy-efficient products, homes, and commercial and industrial buildings.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ENTWINE_AUSTRALIA;PackagingMarkedLabelAccreditationCode;ENTWINE_AUSTRALIA;Entwine Australia;Entrelacer l'Australie;"Certification: ENTWINE. No certification program, members certify through SAW, Freshcare or ISO14001. However, the Entwine logo can be used on bottle if member is certified (=also part of one of those certification programs) and 85% of grapes come from certified vineyards. National. Umbrella organisation run by the Australian Wine Research Institute. Voluntary sustainability program to support growers and winemakers that primarily supplies information for research, benchmarking and development of program. 
https://www.awri.com.au/industry_support/entwine/";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EPA_DFE;PackagingMarkedLabelAccreditationCode;EPA_DFE;Design for the Environment (DfE);Conception pour l'environnement (DfE);The Safer Choice label, it means that every ingredient in the product has been reviewed by EPA scientists. Only products that meet our Safer Choice Standard, which includes stringent human health and environmental criteria, are allowed to carry the label.;CODEVALUE;GDSN;;NEW;CURRENT;4
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EPEAT_BRONZE;PackagingMarkedLabelAccreditationCode;EPEAT_BRONZE;EPEAT Bronze;EPEAT Bronze;Electronic Product Environmental Assessment Tool Bronze;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EPEAT_GOLD;PackagingMarkedLabelAccreditationCode;EPEAT_GOLD;EPEAT GOLD;OR EPEAT;Electronic Product Environmental Assessment Tool Gold;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EPEAT_SILVER;PackagingMarkedLabelAccreditationCode;EPEAT_SILVER;EPEAT Silver;Argent EPEAT;Electronic Product Environmental Assessment Tool Silver;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EQUAL_EXCHANGE_FAIRLY_TRADED;PackagingMarkedLabelAccreditationCode;EQUAL_EXCHANGE_FAIRLY_TRADED;Equal Exchange Fairly Traded;Échange équitable négocié équitablement;Equal Exchange's mission is to build long-term trade partnerships that are economically just and environmentally sound, to foster mutually beneficial relationships between farmers and consumers and to demonstrate, through our success, the contribution of worker co-operatives and Fair Trade to a more equitable, democratic and sustainable world. ;CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EQUALITAS_SUSTAINABLE_WINE;PackagingMarkedLabelAccreditationCode;EQUALITAS_SUSTAINABLE_WINE;Equalitas Sustainable Wine;Vin durable Equalitas;Certification: Sustainable Company/Sustainable product (on bottle). National, industry, Italy. Certifying companies, wines and regions. The Sustainability Consortium has approved Equalitas as a program meeting their standards for procurement. www.equalitas.it;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ERDE_SAAT;PackagingMarkedLabelAccreditationCode;ERDE_SAAT;Erde Saat;Erde Saat;The label of Bioberband Earth & Seed indicates organic agriculture that interacts in a constructive and life-enhancing way with natural systems and cycles.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ERKEND_STREEK_PRODUCT;PackagingMarkedLabelAccreditationCode;ERKEND_STREEK_PRODUCT;Erkend Streek Product;Produit Erkend Streek;The Dutch mark Erkend Streekproduct indicates that the product and its ingredients come from a specific region. During production there has been attention for preservation and maintenance of characteristic values of the landscape and the environment.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:ETP;PackagingMarkedLabelAccreditationCode;ETP;Ethical Tea Partnership;Partenariat éthique du thé;"Membership is open to any company involved in the sourcing, trading or packing of tea sold in Europe, North America, Australia and New Zealand.
When you see the ETP Hand and Leaf logo on packaging it means the tea inside is from a member of Ethical Tea Partnership. Members range from large global brands and retailers to small boutique labels and specialty teas.
Because we focus purely on improving the sustainability of tea production – and not herbs, the ETP logo can only be used on products that contain a minimum of 55% Camellia sinensis (tea) by weight.
";CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EU_ECO_LABEL;PackagingMarkedLabelAccreditationCode;EU_ECO_LABEL;EU Eco Label;Label écologique de l'UE;The item is physically marked with the European Union Eco label a European environmental initiative supported by the European Commission.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EU_ENERGY_LABEL;PackagingMarkedLabelAccreditationCode;EU_ENERGY_LABEL;EU Energy Label;Label énergétique de l'UE;The EU adopted the Directive 2010/30/EU on energy labels. Energy labels help consumers choosing products which save energy and thus money. They also provide incentives for the industry to develop and invest in energy efficient product design.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EU_ORGANIC_FARMING;PackagingMarkedLabelAccreditationCode;EU_ORGANIC_FARMING;EU Organic Farming;Agriculture biologique de l'UE;New EU organic logo the EU introduced a new organic logo to ensure consumer protection and common standards. See www.organic-farming.europa.eu;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EUROPE_SOYA_STANDARD;PackagingMarkedLabelAccreditationCode;EUROPE_SOYA_STANDARD;Europe Soya Standard;Norme européenne sur le soja;The Europe Soya programme has been established to promote and propagate the cultivation, processing and marketing of GM-free, origin-controlled quality soya from Europe. The aim is to develop and guarantee a GM-free protein supply in and from Europe. ;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EUROPEAN_V_LABEL_VEGAN;PackagingMarkedLabelAccreditationCode;EUROPEAN_V_LABEL_VEGAN;V Label Vegan;V Label Végétalien;"The V-label is an internationally approved and protected brand to identify vegetarian and vegan products. Owner of the trademark ""V-Label"" is the European Vegetarian Union (EVU), which coordinates the work of the various national Veggie organisations.
Today the Vegetarier-Bund Deutschlands e.V. (VEBU) is the biggest body representing the interests of vegetarians and vegans in Germany and the VEBU awards the certification of the two existing Versions of the V-Label.
It support consumer decision buying Food without studying the  list of ingredients. 

Vegan food products are not of animal origin and  don't have                  
- Ingredients (including additives, excipients, flavourings and enzymes) of animal origin
or
- Processing aids or
- Non-food additives, used in the same manner as Processing aids of animal origin.
";CODEVALUE;GDSN;;NEW;CURRENT;5
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EUROPEAN_V_LABEL_VEGETARIAN;PackagingMarkedLabelAccreditationCode;EUROPEAN_V_LABEL_VEGETARIAN;V Label Vegetarian;V-Label Végétarien;"The V-LABEL is an internationally approved and protected brand to identify vegetarian and vegan products. Owner of the trademark  ""V-LABEL"" is the European Vegetarian Union (EVU), which coordinates the work of the various national Veggie organisations.
Today the Vegetarier-Bund Deutschlands e.V. (VEBU) is the biggest body representing the interests of vegetarians and vegans in Germany and the VEBU awards the certification of the two existing Versions of the V-LABEL.
It support consumer decision buying Food without studying the  list of ingredients. 

Vegetarian foods meet the requirements of vegan food.  
In the production, however, the following components or derived products can be added or used:
1. milk
2. colostrum
3. means eggs
4. honey
5. beeswax
6. propolis 
7. lanolin / lanolin from live sheep from wool.";CODEVALUE;GDSN;;NEW;CURRENT;5
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EUROPEAN_VEGETARIAN_UNION;PackagingMarkedLabelAccreditationCode;EUROPEAN_VEGETARIAN_UNION;European Vegetarian Union;Union végétarienne européenne;The V Label is intended for the labelling of vegetarian and vegan products. The V Label makes it possible to safely and conveniently select vegetarian and vegan food without having to study the ingredients or make enquiries with the manufacturer. Products bearing the V Label must not contain any of the following ingredients: - Meat, fish and poultry - Ingredients that are produced from dead animals such as gelatine and fish oil - Eggs from hens kept in cages - Gelatine for the clarification of juices or vinegar - Calf-rennet for the production of cheese The V Label always states the vegetarian category the labelled product belongs to. The label must at least indicate the category “vegetarian” or “vegan”. Vegetarian products with milk and without egg can be labelled “lacto-vegetarian” (or “without eggs”) and vegetarian products with egg and without milk can be labelled “ovo-vegetarian” (or “without milk”).;CODEVALUE;GDSN;;NEW;CURRENT;3
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:EWG_VERIFIED;PackagingMarkedLabelAccreditationCode;EWG_VERIFIED;EWG Verified;EWG vérifié;The EWG VERIFIED™ mark, from Environmental Working Group (EWG), helps shoppers in stores and online to quickly and easily identify cosmetics and other personal care products which: avoid EWG's ingredients of concern, provide full transparency, and use good manufacturing practices.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_FLOWERS_FAIR_PLANTS;PackagingMarkedLabelAccreditationCode;FAIR_FLOWERS_FAIR_PLANTS;Fair Flowers Fair Plants;Fleurs de foire Plantes de foire;"Fair Flowers Fair Plants is a label attached to flowers and plants that originate from growers that meet the highest demands related to the environment and personnel, when it comes to issues such as working conditions, hygiene and safety.
";CODEVALUE;GDSN;;NEW;CURRENT;5
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_FOOD_PROGRAM_LABEL;PackagingMarkedLabelAccreditationCode;FAIR_FOOD_PROGRAM_LABEL;Fair Food Program Label;Label du programme alimentaire équitable;The Coalition of Immokalee Workers' (CIW) Fair Food Program is a unique partnership among farmers, farmworkers, and retail food companies that ensures humane wages and working conditions for the workers who pick fruits and vegetables on participating farms. It harnesses the power of consumer demand to give farmworkers a voice in the decisions that affect their lives, and to eliminate the longstanding abuses that have plagued agriculture for generations. ;CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_FOR_LIFE;PackagingMarkedLabelAccreditationCode;FAIR_FOR_LIFE;Fair For Life;Juste pour la vie;Fair for Life Social & FairTrade Certification guarantees that human rights are guaranteed at any stage of production, that workers enjoy good and fair working conditions and that smallholder farmers receive a fair share. Fair trade improves the livelihood of thousands of smallholder farmers and workers by providing the means for social community projects and empowerment of people.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_N_GREEN;PackagingMarkedLabelAccreditationCode;FAIR_N_GREEN;Fair ’n Green;Foire et verte;Certification: Fair’N Green. National - Soil compaction, toxicity analysis included, in addition to waste management, water use, CO2-footprint etc. After the initial analysis by an external consultant, the winery is ready to apply. Certification through third party examination rather than audit (NOT same company as consultant), passing score allows entry.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_TRADE_MARK;PackagingMarkedLabelAccreditationCode;FAIR_TRADE_MARK;Fair Trade Mark;Marque de commerce équitable;The FAIR TRADE Mark certifies that products meet the social, economic and environmental International Fairtrade Standards. The FAIR TRADE Mark is usually supported by a local Fair Trade Labelling Organisation and certifies products not companies. It does not cover the companies or organizations selling the product.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_TRADE_USA;PackagingMarkedLabelAccreditationCode;FAIR_TRADE_USA;Fair Trade USA;Commerce équitable aux États-Unis;Fair Trade USA- The Fair Trade certification model is designed and audited to ensure equitable trade practices at every level of the supply chain. To earn a license from Fair Trade USA to use the Fair Trade Certified™ label on their products, companies must buy from certified farms and organizations, pay Fair Trade prices and premiums and submit to a rigorous supply chain audits. This process entails a high level of transparency and traceability in their global supply chains. Today, our partner companies range from small, mission-driven coffee roasters to some of the largest transnational corporations in the world.;CODEVALUE;GDSN;;NEW;CURRENT;2
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_TRADE_USA_INGREDIENTS;PackagingMarkedLabelAccreditationCode;FAIR_TRADE_USA_INGREDIENTS;Fair Trade USA Ingredients ;Ingrédients du commerce équitable aux États-Unis;"Products bearing the Fair Trade Certified Ingredient logo are required to contain 20% or more Fair Trade Certified Ingredients by weight excluding water and salt. Additionally, any individual Fair Trade Certified ingredients used in the product are 100% Fair Trade Certified.

";CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIR_TSA;PackagingMarkedLabelAccreditationCode;FAIR_TSA;FairTSA ;FoireTSA;"The Fair Trade Sustainability Alliance (FairTSA) is an organization specializing in Fair Trade and social responsibility standard development, ethical supply chain management, and accountable, sustainable community development. We are the only Fair Trade standard holder with an ""open"" certification system, meaning that every certifier who is interested in working with our standard can do so, provided that they comply with our basic requirements. These can be found on the Producers and Licensees pages respectively.  ";CODEVALUE;GDSN;;NEW;CURRENT;6
urn:gs1:gdd:cl:PackagingMarkedLabelAccreditationCode:FAIRCHOICE_GERMANY;PackagingMarkedLabelAccreditationCode;FAIRCHOICE_GERMANY;FairChoice Germany;FairChoice Allemagne;A scientifically based seal for certified sustainable wine production, from scientists of the DINE e.V. (Deutsches Institut für Nachhaltige Entwicklung e.V.) guarantee: wine, controlled sustainably.;CODEVALUE;GDSN;;NEW;CURRENT;1
