semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_en;bcpg:lvValue_fr;bcpg:lvValue_de;bcpg:lvValue_nl;bcpg:lvValue_es;bcpg:lvValue_en_US;bcpg:lvValue_it;bcpg:lvValue_pt;bcpg:lvValue_sv;bcpg:lvValue_fi;changeLog;Status;Version;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_CERONS;OriginOfWineCode;FR_BORDEAUX_CERONS;France - Bordeaux - Cerons;France - Bordeaux - Cerons;France - Bordeaux - Cérons;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_COTES DE BERGERAC;OriginOfWineCode;FR_BORDEAUX_COTES DE BERGERAC;France - Bordeaux - Cotes De Bergerac;France - Bordeaux - Cotes De Bergerac;France - Bordeaux - Côtes De Bergerac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_COTES DE BLAYE;OriginOfWineCode;FR_BORDEAUX_COTES DE BLAYE;France - Bordeaux - Cotes De Blaye;France - Bordeaux - Cotes De Blaye;France - Bordeaux - Côtes De Blaye;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_COTES DE BORDEAUX;OriginOfWineCode;FR_BORDEAUX_COTES DE BORDEAUX;France - Bordeaux - Cotes De Bordeaux;France - Bordeaux - Cotes De Bordeaux;France - Bordeaux - Côtes De Bordeaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_COTES DE BORDEAUX-SAINT-MACAIRE;OriginOfWineCode;FR_BORDEAUX_COTES DE BORDEAUX-SAINT-MACAIRE;France - Bordeaux - Cotes De Bordeaux-Saint-Macaire;France - Bordeaux - Cotes De Bordeaux-Saint-Macaire;France - Bordeaux - Côtes De Bordeaux-Saint-Macaire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_COTES DE BOURG_BOURG ET BOURGEAIS;OriginOfWineCode;FR_BORDEAUX_COTES DE BOURG_ BOURG ET BOURGEAIS;France - Bordeaux - Cotes De Bourg, Bourg Et Bourgeais ;France - Bordeaux - Cotes De Bourg, Bourg Et Bourgeais ;France - Bordeaux - Cotes De Bourg, Bourg Et Bourgeais ;;;;;;;;;France - Bordeaux - Cotes De Bourg; Bourg Et Bourgeais;CODEVALUE;GDSN;;NEW;CURRENT;1;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_CREMANT DE BORDEAUX;OriginOfWineCode;FR_BORDEAUX_CREMANT DE BORDEAUX;France - Bordeaux - Cremant De Bordeaux;France - Bordeaux - Cremant De Bordeaux;France - Bordeaux - Crémant De Bordeaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_ENTRE-DEUX-MERS;OriginOfWineCode;FR_BORDEAUX_ENTRE-DEUX-MERS;France - Bordeaux - Entre-Deux-Mers;France - Bordeaux - Entre-Deux-Mers;France - Bordeaux - Entre-Deux-Mers;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_FRONSAC;OriginOfWineCode;FR_BORDEAUX_FRONSAC;France - Bordeaux - Fronsac;France - Bordeaux - Fronsac;France - Bordeaux - Fronsac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_GAILLAC PREMIERES COTES;OriginOfWineCode;FR_BORDEAUX_GAILLAC PREMIERES COTES;France - Bordeaux - Gaillac Premieres Cotes;France - Bordeaux - Gaillac Premieres Cotes;France - Bordeaux - Gaillac Premières Côtes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_GRAVES;OriginOfWineCode;FR_BORDEAUX_GRAVES;France - Bordeaux - Graves;France - Bordeaux - Graves;France - Bordeaux - Graves;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_GRAVES DE VAYRES;OriginOfWineCode;FR_BORDEAUX_GRAVES DE VAYRES;France - Bordeaux - Graves De Vayres;France - Bordeaux - Graves De Vayres;France - Bordeaux - Graves De Vayres;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_GRAVES SUPERIEURES;OriginOfWineCode;FR_BORDEAUX_GRAVES SUPERIEURES;France - Bordeaux - Graves Superieures;France - Bordeaux - Graves Superieures;France - Bordeaux - Graves Supérieures;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_HAUT-MEDOC;OriginOfWineCode;FR_BORDEAUX_HAUT-MEDOC;France - Bordeaux - Haut-Medoc;France - Bordeaux - Haut-Medoc;France - Bordeaux - Haut-Médoc;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_LALANDE-DE-POMEROL;OriginOfWineCode;FR_BORDEAUX_LALANDE-DE-POMEROL;France - Bordeaux - Lalande-De-Pomerol;France - Bordeaux - Lalande-De-Pomerol;France - Bordeaux - Lalande De Pomerol;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_LISTRAC-MEDOC;OriginOfWineCode;FR_BORDEAUX_LISTRAC-MEDOC;France - Bordeaux - Listrac-Medoc;France - Bordeaux - Listrac-Medoc;France - Bordeaux - Listrac-Médoc;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_LOUPIAC;OriginOfWineCode;FR_BORDEAUX_LOUPIAC;France - Bordeaux - Loupiac;France - Bordeaux - Loupiac;France - Bordeaux - Loupiac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_LUSSAC-SAINT-EMILION;OriginOfWineCode;FR_BORDEAUX_LUSSAC-SAINT-EMILION;France - Bordeaux - Lussac-Saint-Emilion;France - Bordeaux - Lussac-Saint-Emilion;France - Bordeaux - Lussac-Saint-Émilion;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MARCILLAC;OriginOfWineCode;FR_BORDEAUX_MARCILLAC;France - Bordeaux - Marcillac;France - Bordeaux - Marcillac;France - Bordeaux - Marcillac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MARGAUX;OriginOfWineCode;FR_BORDEAUX_MARGAUX;France - Bordeaux - Margaux;France - Bordeaux - Margaux;France - Bordeaux - Margaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MEDOC;OriginOfWineCode;FR_BORDEAUX_MEDOC;France - Bordeaux - Medoc;France - Bordeaux - Medoc;France - Bordeaux - Médoc;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MONBAZILLAC;OriginOfWineCode;FR_BORDEAUX_MONBAZILLAC;France - Bordeaux - Monbazillac;France - Bordeaux - Monbazillac;France - Bordeaux - Monbazillac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MONTAGNE-SAINT-EMILION;OriginOfWineCode;FR_BORDEAUX_MONTAGNE-SAINT-EMILION;France - Bordeaux - Montagne-Saint-Emilion;France - Bordeaux - Montagne-Saint-Emilion;France - Bordeaux - Montagne-Saint-Émilion;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_MOULIS OU MOULIS-EN-MEDOC;OriginOfWineCode;FR_BORDEAUX_MOULIS OU MOULIS-EN-MEDOC;France - Bordeaux - Moulis Ou Moulis-En-Medoc;France - Bordeaux - Moulis Ou Moulis-En-Medoc;France - Bordeaux - Moulis ou Moulis-En-Médoc;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_PAUILLAC;OriginOfWineCode;FR_BORDEAUX_PAUILLAC;France - Bordeaux - Pauillac;France - Bordeaux - Pauillac;France - Bordeaux - Pauillac;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_PECHARMANT;OriginOfWineCode;FR_BORDEAUX_PECHARMANT;France - Bordeaux - Pecharmant;France - Bordeaux - Pecharmant;France - Bordeaux - Pécharmant;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_PESSAC-LEOGNAN;OriginOfWineCode;FR_BORDEAUX_PESSAC-LEOGNAN;France - Bordeaux - Pessac-Leognan;France - Bordeaux - Pessac-Leognan;France - Bordeaux - Pessac-Léognan;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_POMEROL;OriginOfWineCode;FR_BORDEAUX_POMEROL;France - Bordeaux - Pomerol;France - Bordeaux - Pomerol;France - Bordeaux - Pomerol;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_PREMIERES COTES DE BORDEAUX;OriginOfWineCode;FR_BORDEAUX_PREMIERES COTES DE BORDEAUX;France - Bordeaux - Premieres Cotes De Bordeaux;France - Bordeaux - Premieres Cotes De Bordeaux;France - Bordeaux - Premières Côtes De Bordeaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_PUISSEGUIN-SAINT-EMILION;OriginOfWineCode;FR_BORDEAUX_PUISSEGUIN-SAINT-EMILION;France - Bordeaux - Puisseguin-Saint-Emilion;France - Bordeaux - Puisseguin-Saint-Emilion;France - Bordeaux - Puisseguin-Saint-Émilion;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINTE-CROIX-DU-MONT;OriginOfWineCode;FR_BORDEAUX_SAINTE-CROIX-DU-MONT;France - Bordeaux - Sainte-Croix-Du-Mont;France - Bordeaux - Sainte-Croix-Du-Mont;France - Bordeaux - Sainte-Croix-Du-Mont;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINTE-FOY-BORDEAUX;OriginOfWineCode;FR_BORDEAUX_SAINTE-FOY-BORDEAUX;France - Bordeaux - Sainte-Foy-Bordeaux;France - Bordeaux - Sainte-Foy-Bordeaux;France - Bordeaux - Sainte-Foy-Bordeaux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINT-EMILION;OriginOfWineCode;FR_BORDEAUX_SAINT-EMILION;France - Bordeaux - Saint-Emilion;France - Bordeaux - Saint-Emilion;France - Bordeaux - Saint-Émilion;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINT-EMILION GRAND CRU;OriginOfWineCode;FR_BORDEAUX_SAINT-EMILION GRAND CRU;France - Bordeaux - Saint-Emilion Grand Cru;France - Bordeaux - Saint-Emilion Grand Cru;France - Bordeaux - Saint-Émilion Grand Cru;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINT-ESTEPHE;OriginOfWineCode;FR_BORDEAUX_SAINT-ESTEPHE;France - Bordeaux - Saint-Estephe;France - Bordeaux - Saint-Estephe;France - Bordeaux - Saint-Estèphe;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINT-GEORGES-SAINT-EMILION;OriginOfWineCode;FR_BORDEAUX_SAINT-GEORGES-SAINT-EMILION;France - Bordeaux - Saint-Georges-Saint-Emilion;France - Bordeaux - Saint-Georges-Saint-Emilion;France - Bordeaux - Saint-Georges-Saint-Émilion;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAINT-JULIEN;OriginOfWineCode;FR_BORDEAUX_SAINT-JULIEN;France - Bordeaux - Saint-Julien;France - Bordeaux - Saint-Julien;France - Bordeaux - Saint Julien;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BORDEAUX_SAUTERNES;OriginOfWineCode;FR_BORDEAUX_SAUTERNES;France - Bordeaux - Sauternes;France - Bordeaux - Sauternes;France - Bordeaux - Sauternes;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_ALOXE-CORTON;OriginOfWineCode;FR_BURGUNDY_ALOXE-CORTON;France - Burgundy - Aloxe-Corton;France - Burgundy - Aloxe-Corton;France - Bourgogne - Aloxe-Corton;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_AUXEY-DURESSES;OriginOfWineCode;FR_BURGUNDY_AUXEY-DURESSES;France - Burgundy - Auxey-Duresses;France - Burgundy - Auxey-Duresses;France - Bourgogne - Auxey-Duresses;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BATARD-MONTRACHET;OriginOfWineCode;FR_BURGUNDY_BATARD-MONTRACHET;France - Burgundy - Batard-Montrachet;France - Burgundy - Batard-Montrachet;France - Bourgogne - Bâtard-Montrachet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BEAUJOLAIS;OriginOfWineCode;FR_BURGUNDY_BEAUJOLAIS;France - Burgundy - Beaujolais;France - Burgundy - Beaujolais;France - Bourgogne - Beaujolais;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BEAUNE;OriginOfWineCode;FR_BURGUNDY_BEAUNE;France - Burgundy - Beaune;France - Burgundy - Beaune;France - Bourgogne - Beaune;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BIENVENUES-BATARD-MONTRACHET;OriginOfWineCode;FR_BURGUNDY_BIENVENUES-BATARD-MONTRACHET;France - Burgundy - Bienvenues-Batard-Montrachet;France - Burgundy - Bienvenues-Batard-Montrachet;France - Bourgogne - Bienvenues-Batard-Montrachet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BLAGNY;OriginOfWineCode;FR_BURGUNDY_BLAGNY;France - Burgundy - Blagny;France - Burgundy - Blagny;France - Bourgogne - Blagny;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BONNES-MARES;OriginOfWineCode;FR_BURGUNDY_BONNES-MARES;France - Burgundy - Bonnes-Mares;France - Burgundy - Bonnes-Mares;France - Bourgogne - Bonnes-Mares;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BOURGOGNE;OriginOfWineCode;FR_BURGUNDY_BOURGOGNE;France - Burgundy - Bourgogne;France - Burgundy - Bourgogne;France - Bourgogne - Bourgogne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BOURGOGNE ALIGOTE;OriginOfWineCode;FR_BURGUNDY_BOURGOGNE ALIGOTE;France - Burgundy - Bourgogne Aligote;France - Burgundy - Bourgogne Aligote;France - Bourgogne - Bourgogne Aligote;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BOURGOGNE MOUSSEUX;OriginOfWineCode;FR_BURGUNDY_BOURGOGNE MOUSSEUX;France - Burgundy - Bourgogne Mousseux;France - Burgundy - Bourgogne Mousseux;France - Bourgogne - Bourgogne Mousseux;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BOURGOGNE PASSE-TOUT-GRAINS;OriginOfWineCode;FR_BURGUNDY_BOURGOGNE PASSE-TOUT-GRAINS;France - Burgundy - Bourgogne Passe-Tout-Grains;France - Burgundy - Bourgogne Passe-Tout-Grains;France - Bourgogne - Bourgogne Passe-Tout-Grains;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BOUZERON;OriginOfWineCode;FR_BURGUNDY_BOUZERON;France - Burgundy - Bouzeron;France - Burgundy - Bouzeron;France - Bourgogne - Bouzeron;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_BURGUNDY;OriginOfWineCode;FR_BURGUNDY_BURGUNDY;France - Burgundy - Burgundy;France - Burgundy - Burgundy;France - Bourgogne - Bourgogne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHABLIS;OriginOfWineCode;FR_BURGUNDY_CHABLIS;France - Burgundy - Chablis;France - Burgundy - Chablis;France - Bourgogne - Chablis;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHABLIS GRAND CRU;OriginOfWineCode;FR_BURGUNDY_CHABLIS GRAND CRU;France - Burgundy - Chablis Grand Cru;France - Burgundy - Chablis Grand Cru;France - Bourgogne - Chablis Grand Cru;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHAMBERTIN;OriginOfWineCode;FR_BURGUNDY_CHAMBERTIN;France - Burgundy - Chambertin;France - Burgundy - Chambertin;France - Bourgogne - Chambertin;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHAMBERTIN-CLOS DE BEZE;OriginOfWineCode;FR_BURGUNDY_CHAMBERTIN-CLOS DE BEZE;France - Burgundy - Chambertin-Clos De Beze;France - Burgundy - Chambertin-Clos De Beze;France - Bourgogne - Chambertin-Clos De Bèze;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHAMBOLLE-MUSIGNY;OriginOfWineCode;FR_BURGUNDY_CHAMBOLLE-MUSIGNY;France - Burgundy - Chambolle-Musigny;France - Burgundy - Chambolle-Musigny;France - Bourgogne - Chambolle-Musigny;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHAPELLE-CHAMBERTIN;OriginOfWineCode;FR_BURGUNDY_CHAPELLE-CHAMBERTIN;France - Burgundy - Chapelle-Chambertin;France - Burgundy - Chapelle-Chambertin;France - Bourgogne - Chapelle-Chambertin;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHARLEMAGNE;OriginOfWineCode;FR_BURGUNDY_CHARLEMAGNE;France - Burgundy - Charlemagne;France - Burgundy - Charlemagne;France - Bourgogne - Charlemagne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHARMES-CHAMBERTIN;OriginOfWineCode;FR_BURGUNDY_CHARMES-CHAMBERTIN;France - Burgundy - Charmes-Chambertin;France - Burgundy - Charmes-Chambertin;France - Bourgogne - Charmes-Chambertin;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHASSAGNE-MONTRACHET;OriginOfWineCode;FR_BURGUNDY_CHASSAGNE-MONTRACHET;France - Burgundy - Chassagne-Montrachet;France - Burgundy - Chassagne-Montrachet;France - Bourgogne - Chassagne-Montrachet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHEVALIER-MONTRACHET;OriginOfWineCode;FR_BURGUNDY_CHEVALIER-MONTRACHET;France - Burgundy - Chevalier-Montrachet;France - Burgundy - Chevalier-Montrachet;France - Bourgogne - Chevalier-Montrachet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CHOREY-LES-BEAUNE;OriginOfWineCode;FR_BURGUNDY_CHOREY-LES-BEAUNE;France - Burgundy - Chorey-Les-Beaune;France - Burgundy - Chorey-Les-Beaune;France - Bourgogne - Chorey-Lès-Beaune;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CLOS DE TART;OriginOfWineCode;FR_BURGUNDY_CLOS DE TART;France - Burgundy - Clos De Tart;France - Burgundy - Clos De Tart;France - Bourgogne - Clos De Tart;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CLOS DE VOUGEOT OU CLOS VOUGEOT;OriginOfWineCode;FR_BURGUNDY_CLOS DE VOUGEOT OU CLOS VOUGEOT;France - Burgundy - Clos De Vougeot Ou Clos Vougeot;France - Burgundy - Clos De Vougeot Ou Clos Vougeot;France - Bourgogne - Clos De Vougeot Ou Clos Vougeot;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CLOS DES LAMBRAYS;OriginOfWineCode;FR_BURGUNDY_CLOS DES LAMBRAYS;France - Burgundy - Clos Des Lambrays;France - Burgundy - Clos Des Lambrays;France - Bourgogne - Clos Des Lambrays;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CLOS SAINT-DENIS;OriginOfWineCode;FR_BURGUNDY_CLOS SAINT-DENIS;France - Burgundy - Clos Saint-Denis;France - Burgundy - Clos Saint-Denis;France - Bourgogne - Clos Saint-Denis;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CORTON;OriginOfWineCode;FR_BURGUNDY_CORTON;France - Burgundy - Corton;France - Burgundy - Corton;France - Bourgogne - Corton;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CORTON-CHARLEMAGNE;OriginOfWineCode;FR_BURGUNDY_CORTON-CHARLEMAGNE;France - Burgundy - Corton-Charlemagne;France - Burgundy - Corton-Charlemagne;France - Bourgogne - Corton-Charlemagne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CÔTE CHALONNAISE;OriginOfWineCode;FR_BURGUNDY_CÔTE CHALONNAISE;France - Burgundy - Côte Chalonnaise;France - Burgundy - Côte Chalonnaise;France - Bourgogne - Côte Chalonnaise;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_COTE DE BEAUNE;OriginOfWineCode;FR_BURGUNDY_COTE DE BEAUNE;France - Burgundy - Cote De Beaune;France - Burgundy - Cote De Beaune;France - Bourgogne - Côte De Beaune;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_COTE DE BEAUNE-VILLAGES;OriginOfWineCode;FR_BURGUNDY_COTE DE BEAUNE-VILLAGES;France - Burgundy - Cote De Beaune-Villages;France - Burgundy - Cote De Beaune-Villages;France - Bourgogne - Côte De Beaune-Villages;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_COTE DE NUITS-VILLAGES;OriginOfWineCode;FR_BURGUNDY_COTE DE NUITS-VILLAGES;France - Burgundy - Cote De Nuits-Villages;France - Burgundy - Cote De Nuits-Villages;France - Bourgogne - Côte De Nuits-Villages;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CÔTE D'OR;OriginOfWineCode;FR_BURGUNDY_CÔTE D'OR;France - Burgundy - Côte D'Or;France - Burgundy - Côte D'Or;France - Bourgogne - Côte d'Or;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_COTEAUX BOURGUIGNONS OU BOURGOGNE ORDINAIRE OU GRAND ORDINAIRE;OriginOfWineCode;FR_BURGUNDY_COTEAUX BOURGUIGNONS OU BOURGOGNE ORDINAIRE OU GRAND ORDINAIRE;France - Burgundy - Coteaux Bourguignons Ou Bourgogne Grand Ordinaire Ou Bourgogne Ordinaire;France - Burgundy - Coteaux Bourguignons Ou Bourgogne Grand Ordinaire Ou Bourgogne Ordinaire;France - Bourgogne - Coteaux Bourguignons Ou Bourgogne Grand Ordinaire Ou Bourgogne Ordinaire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_COTEAUX DE L'AUXOIS;OriginOfWineCode;FR_BURGUNDY_COTEAUX DE L'AUXOIS;France - Burgundy - Coteaux De L'Auxois;France - Burgundy - Coteaux De L'Auxois;France - Bourgogne - Coteaux De L'Auxois;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CREMANT DE BOURGOGNE;OriginOfWineCode;FR_BURGUNDY_CREMANT DE BOURGOGNE;France - Burgundy - Cremant De Bourgogne;France - Burgundy - Cremant De Bourgogne;France - Bourgogne - Crémant De Bourgogne;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:OriginOfWineCode:FR_BURGUNDY_CRIOTS-BATARD-MONTRACHET;OriginOfWineCode;FR_BURGUNDY_CRIOTS-BATARD-MONTRACHET;France - Burgundy - Criots-Batard-Montrachet;France - Burgundy - Criots-Batard-Montrachet;France - Bourgogne - Criots-Batard-Montrachet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
